code,year,data_level,cpi,ppp2021
ETH,2004,national,0.08695474495974259,13.4367609
ETH,2010,national,0.23687080730088497,13.4367609
ETH,2015,national,0.4289651289001465,13.4367609
ETH,2021,national,1.119265383306976,13.4367609
FIN,1987,national,3.10774563126641,0.867450714
FIN,1991,national,3.8544588744219834,0.867450714
FIN,1995,national,4.130439576935769,0.867450714
FIN,2000,national,4.445674701491945,0.867450714
FIN,2003,national,0.7858786193588232,0.867450714
FIN,2004,national,0.7873491588681001,0.867450714
FIN,2005,national,0.7922612286768127,0.867450714
FIN,2006,national,0.8046733084256328,0.867450714
FIN,2007,national,0.8248759805916087,0.867450714
FIN,2008,national,0.8584150299727376,0.867450714
FIN,2009,national,0.8584150299727376,0.867450714
FIN,2010,national,0.86857985020920625,0.867450714
FIN,2011,national,0.8982575654158478,0.867450714
FIN,2012,national,0.9234836365949697,0.867450714
FIN,2013,national,0.9371353802886342,0.867450714
FIN,2014,national,0.9468927886507827,0.867450714
FIN,2015,national,0.9449239184168987,0.867450714
FIN,2016,national,0.948294343813741,0.867450714
FIN,2017,national,0.9554445945032531,0.867450714
FIN,2018,national,0.9657999334675468,0.867450714
FIN,2019,national,0.9756906055380977,0.867450714
FIN,2020,national,0.9785255242081378,0.867450714
FIN,2021,national,1,0.867450714
FIN,2022,national,1.0712350517349465,0.867450714
FIN,2023,national,1.138194134276274,0.867450714
FJI,2002,national,0.5829250893285607,0.944870651
FJI,2008,national,0.7358967100205109,0.944870651
FJI,2013,national,0.8858006656356577,0.944870651
FJI,2019,national,1.0210559266601942,0.944870651
FRA,1979,national,1.9898759060137028,0.766459584
FRA,1984,national,3.3794392050772246,0.766459584
FRA,1990,national,4.154907918048697,0.766459584
FRA,1996,national,4.7301998462701995,0.766459584
FRA,1997,national,4.787148557742797,0.766459584
FRA,1998,national,4.818318927847665,0.766459584
FRA,1999,national,4.844200131436739,0.766459584
FRA,2000,national,4.925386922702883,0.766459584
FRA,2001,national,5.00590622275778,0.766459584
FRA,2002,national,5.102190605429718,0.766459584
FRA,2003,national,0.7941427221606403,0.766459584
FRA,2004,national,0.8111539435671926,0.766459584
FRA,2005,national,0.8253156718523831,0.766459584
FRA,2006,national,0.8391406961666864,0.766459584
FRA,2007,national,0.8516271185451184,0.766459584
FRA,2008,national,0.8755822483964304,0.766459584
FRA,2009,national,0.8763494039559051,0.766459584
FRA,2010,national,0.8897673966150796,0.766459584
FRA,2011,national,0.9085556818421726,0.766459584
FRA,2012,national,0.9263106388747407,0.766459584
FRA,2013,national,0.9343113633313491,0.766459584
FRA,2014,national,0.9390554272437365,0.766459584
FRA,2015,national,0.939407676619731,0.766459584
FRA,2016,national,0.9411299581611375,0.766459584
FRA,2017,national,0.9508450896308007,0.766459584
FRA,2018,national,0.9684434385865873,0.766459584
FRA,2019,national,0.9791762849618028,0.766459584
FRA,2020,national,0.9838420108938669,0.766459584
FRA,2021,national,1,0.766459584
FRA,2022,national,1.0522236683748283,0.766459584
FRA,2023,national,1.1035548675752107,0.766459584
FSM,2000,national,0.601492002151322,0.949481189
FSM,2005,national,0.6446989196965038,0.949481189
FSM,2013,national,0.9326302643586336,0.949481189
GAB,2005,national,0.7064284669375545,300.2349854
GAB,2017,national,0.9093804973541652,300.2349854
GBR,1977,national,0.1876983717033944,0.720495343
GBR,1978,national,0.2032081489800561,0.720495343
GBR,1979,national,0.2304812839495404,0.720495343
GBR,1980,national,0.2718893662879774,0.720495343
GBR,1981,national,0.3041806743124033,0.720495343
GBR,1982,national,0.3303367397685433,0.720495343
GBR,1983,national,0.345562975991214,0.720495343
GBR,1984,national,0.36270535897058226,0.720495343
GBR,1985,national,0.38472663168012466,0.720495343
GBR,1986,national,0.3979135468834386,0.720495343
GBR,1987,national,0.414422655834231,0.720495343
GBR,1988,national,0.43164339723425577,0.720495343
GBR,1989,national,0.4565071339736177,0.720495343
GBR,1990,national,0.49331738813396014,0.720495343
GBR,1991,national,0.5301276730955685,0.720495343
GBR,1992,national,0.5544687431524935,0.720495343
GBR,1993,national,0.5686552518406991,0.720495343
GBR,1994,national,0.5812737912828597,0.720495343
GBR,1995,national,0.5969536069483714,0.720495343
GBR,1996,national,0.6139774666562435,0.720495343
GBR,1997,national,0.6274919533232687,0.720495343
GBR,1998,national,0.6389158348630782,0.720495343
GBR,1999,national,0.6501157295966716,0.720495343
GBR,2000,national,0.65780631289195,0.720495343
GBR,2001,national,0.6678862119919308,0.720495343
GBR,2002,national,0.6780407733606504,0.720495343
GBR,2003,national,0.6873739881707122,0.720495343
GBR,2004,national,0.6969312513895222,0.720495343
GBR,2005,national,0.7114910714214211,0.720495343
GBR,2006,national,0.7289629047417255,0.720495343
GBR,2007,national,0.7463600141907594,0.720495343
GBR,2008,national,0.7726424264399545,0.720495343
GBR,2009,national,0.7877996062242952,0.720495343
GBR,2010,national,0.807436706940554,0.720495343
GBR,2011,national,0.8385723514653609,0.720495343
GBR,2012,national,0.86015079437389,0.720495343
GBR,2013,national,0.8798626189614195,0.720495343
GBR,2014,national,0.8926304829410576,0.720495343
GBR,2015,national,0.8959157459706245,0.720495343
GBR,2016,national,0.9049503117057317,0.720495343
GBR,2017,national,0.9280967238603054,0.720495343
GBR,2018,national,0.9493765176938797,0.720495343
GBR,2019,national,0.965877679918049,0.720495343
GBR,2020,national,0.975434881534327,0.720495343
GBR,2021,national,1,0.720495343
GEO,1996,national,0.24937951284215962,1.073477149
GEO,1997,national,0.26705459147616945,1.073477149
GEO,1998,national,0.27657989043996506,1.073477149
GEO,1999,national,0.3296629866270416,1.073477149
GEO,2000,national,0.34306036720078775,1.073477149
GEO,2001,national,0.3589990923663162,1.073477149
GEO,2002,national,0.37905939685210327,1.073477149
GEO,2003,national,0.3971193603188815,1.073477149
GEO,2004,national,0.41960858309772275,1.073477149
GEO,2005,national,0.45427546390028456,1.073477149
GEO,2006,national,0.4958914739204177,1.073477149
GEO,2007,national,0.5417361394646873,1.073477149
GEO,2008,national,0.5959069891954835,1.073477149
GEO,2009,national,0.606201364294002,1.073477149
GEO,2010,national,0.6493033631587911,1.073477149
GEO,2011,national,0.7047728988765692,1.073477149
GEO,2012,national,0.6981222851364755,1.073477149
GEO,2013,national,0.6945474805561206,1.073477149
GEO,2014,national,0.7158618125982646,1.073477149
GEO,2015,national,0.7445219239456276,1.073477149
GEO,2016,national,0.7604169071319637,1.073477149
GEO,2017,national,0.8063104665986148,1.073477149
GEO,2018,national,0.8273974691475386,1.073477149
GEO,2019,national,0.8675502777640448,1.073477149
GEO,2020,national,0.9126842723757066,1.073477149
GEO,2021,national,1,1.073477149
GEO,2022,national,1.1189816510571045,1.073477149
GEO,2023,national,1.146819185321242,1.073477149
GEO,2024,national,1.1595456739083503,1.073477149
GHA,1987,national,26.695316191762686,2.454195261
GHA,1988,national,34.136814065277576,2.454195261
GHA,1991,national,0.0066013028845191,2.454195261
GHA,1998,national,0.036622654646635056,2.454195261
GHA,2005,national,0.1575482189655304,2.454195261
GHA,2012,national,0.5199090838432312,2.454195261
GHA,2016,national,0.6966782212257385,2.454195261
GIN,1991,national,0.04116498120177895,3471.783636
GIN,1994,national,0.053808039027236784,3471.783636
